college_tier,cgpa,internships,projects,backlogs,skills,advanced_skills,intermediate_skills,basic_skills,aptitude_score,job_role,salary_lpa
Tier 2,7.6,2,1,1,"Python, Java, AWS",0,3,0,52.5,Software Engineer,10.23
Tier 2,6.37,0,2,0,"Deep Learning, Linux, Machine Learning, React, TensorFlow",3,1,1,51.5,Software Engineer,10.09
Tier 2,5.91,1,1,1,"Excel, Python, AWS",0,2,1,34.3,Junior Developer,4.45
Tier 1,7.45,0,4,1,"Java, TensorFlow, Git, SQL, Python",1,2,2,56.1,Backend Developer,15.68
Tier 3,7.99,0,2,4,"PyTorch, SQL, React",1,1,1,53.8,Software Engineer,9.76
Tier 2,5.1,0,2,1,"TensorFlow, Linux",1,0,1,42.6,Junior Developer,4.77
Tier 1,8.07,0,1,1,"HTML/CSS, JavaScript, Excel",0,0,3,60.3,Web Developer,6.26
Tier 1,6.78,0,3,1,"Git, SQL, TensorFlow",1,0,2,56.3,Data Analyst,10.24
Tier 1,8.79,1,1,0,"Machine Learning, Linux, Git, DSA, Docker, Node.js",2,2,2,71.2,ML Engineer,24.03
Tier 2,6.64,0,2,1,"HTML/CSS, Git",0,0,2,42.4,Web Developer,6.25
Tier 2,8.1,1,4,0,Java,0,1,0,58.3,Software Engineer,10.28
Tier 1,5.24,2,2,0,"Linux, AWS, Deep Learning",1,1,1,42.9,Junior Developer,4.45
Tier 3,7.26,1,3,0,"Django, Git",0,1,1,40.7,Data Scientist,9.04
Tier 2,9.96,0,2,0,"HTML/CSS, Deep Learning, Java, AWS, TensorFlow, Node.js",2,3,1,79.4,ML Engineer,30.57
Tier 2,7.92,1,3,0,"Docker, Node.js, React, DSA",1,3,0,53.7,Software Engineer,15.7
Tier 3,6.32,0,2,1,"Git, Deep Learning, Machine Learning, Java",2,1,1,46.9,Software Engineer,10.14
Tier 3,5.9,1,1,2,"DSA, Django",1,1,0,53.0,Web Developer,6.31
Tier 3,7.63,1,1,2,"Machine Learning, Excel",1,0,1,51.2,Data Scientist,10.12
Tier 1,7.63,3,2,0,"Excel, Deep Learning, PyTorch, Machine Learning, SQL",3,0,2,66.9,ML Engineer,16.09
Tier 3,6.14,0,1,2,"Docker, Git, SQL, HTML/CSS, Excel",0,1,4,38.1,Data Analyst,5.83
Tier 3,8.39,2,1,0,"TensorFlow, Linux, Node.js, Git, Docker, React",1,3,2,58.6,DevOps Engineer,18.35
Tier 2,6.02,2,4,0,"Machine Learning, Linux, Django, PyTorch",2,1,1,45.3,Software Engineer,10.29
Tier 3,7.05,0,4,1,"Python, HTML/CSS",0,1,1,48.7,Data Scientist,7.96
Tier 3,7.93,1,1,0,"Excel, DSA, PyTorch, JavaScript, Python",2,1,2,64.4,Data Scientist,16.12
Tier 3,5.94,2,5,0,"Machine Learning, Django, PyTorch",2,1,0,50.3,Web Developer,6.15
Tier 2,7.62,3,5,0,JavaScript,0,0,1,54.2,Web Developer,6.14
Tier 3,6.95,1,1,0,"TensorFlow, Django, Excel, SQL, PyTorch",2,1,2,54.0,Data Scientist,9.86
Tier 1,8.31,0,2,1,TensorFlow,1,0,0,62.4,Data Scientist,16.7
Tier 3,9.57,2,2,0,"JavaScript, React, Java, DSA",1,2,1,74.2,Software Engineer,21.77
Tier 3,8.99,0,1,0,PyTorch,1,0,0,71.7,Data Scientist,16.79
Tier 1,7.45,1,1,1,PyTorch,1,0,0,64.4,Data Scientist,15.73
Tier 1,9.25,0,2,0,"TensorFlow, Git, Node.js, AWS, Deep Learning",2,2,1,80.9,Data Scientist,23.77
Tier 3,6.47,1,3,0,"Docker, SQL, AWS",0,2,1,45.9,Backend Developer,7.94
Tier 3,7.07,2,2,0,"React, Machine Learning, Excel, PyTorch",2,1,1,56.7,Data Scientist,16.18
Tier 2,7.34,0,2,1,Python,0,1,0,48.3,Data Scientist,8.51
Tier 3,6.17,3,1,3,"React, SQL",0,1,1,49.6,Software Engineer,5.49
Tier 2,7.66,2,1,1,"Java, Git, HTML/CSS",0,1,2,52.6,Software Engineer,10.24
Tier 2,8.14,1,0,1,"DSA, Linux",1,0,1,62.6,Software Engineer,14.27
Tier 1,7.12,1,1,1,"Git, Java, JavaScript",0,1,2,52.8,Software Engineer,10.51
Tier 3,7.75,0,1,0,"HTML/CSS, AWS, Java, Django, Machine Learning",1,3,1,63.1,Data Scientist,15.61
Tier 3,6.01,0,2,0,"PyTorch, Machine Learning",2,0,0,48.5,Software Engineer,9.87
Tier 1,7.24,2,0,1,"Docker, Linux, Machine Learning",1,1,1,60.5,DevOps Engineer,15.86
Tier 1,6.2,0,4,1,"Django, Node.js",0,2,0,50.2,Software Engineer,7.8
Tier 3,6.94,0,0,2,Node.js,0,1,0,48.0,Software Engineer,5.0
Tier 3,7.83,0,1,1,"Node.js, DSA, JavaScript",1,1,1,56.8,Software Engineer,12.22
Tier 1,8.18,1,4,0,"Excel, Django, React, AWS, HTML/CSS",0,3,2,63.3,Web Developer,10.94
Tier 3,6.87,1,1,0,"HTML/CSS, DSA, Docker, Python, Excel",1,2,2,57.0,Software Engineer,9.77
Tier 2,7.18,3,3,3,Machine Learning,1,0,0,47.7,Data Scientist,15.21
Tier 3,8.42,1,5,0,"Deep Learning, TensorFlow, SQL, Node.js, Python",2,2,1,64.6,Data Scientist,21.13
Tier 2,6.93,5,3,0,"React, Linux, PyTorch, Excel",1,1,2,53.1,Software Engineer,10.15
Tier 3,7.85,1,0,1,"Java, Node.js, JavaScript, Machine Learning",1,2,1,53.3,Data Scientist,13.56
Tier 2,8.86,2,2,0,"AWS, PyTorch, SQL, Node.js",1,2,1,69.2,Data Analyst,13.61
Tier 3,5.84,0,0,0,Deep Learning,1,0,0,48.3,Web Developer,5.48
Tier 1,8.73,2,3,2,"Git, AWS, HTML/CSS, TensorFlow, Node.js",1,2,2,65.0,Data Scientist,24.24
Tier 3,6.66,2,2,0,"HTML/CSS, TensorFlow, Docker",1,1,1,42.3,Web Developer,10.11
Tier 2,5.87,0,3,0,Git,0,0,1,38.4,Web Developer,4.56
Tier 3,6.87,0,2,0,"TensorFlow, Linux, DSA",2,0,1,50.9,ML Engineer,10.15
Tier 1,8.45,0,2,0,"Django, Git, PyTorch",1,1,1,66.2,Data Scientist,20.98
Tier 1,6.36,1,2,1,"Git, React, Deep Learning",1,1,1,45.6,Software Engineer,10.26
Tier 3,5.81,2,0,1,"Java, HTML/CSS, Machine Learning, SQL",1,1,2,40.6,Web Developer,5.73
Tier 3,6.78,0,1,0,"Machine Learning, Java",1,1,0,51.2,Software Engineer,10.07
Tier 2,8.09,2,0,0,"JavaScript, AWS, Git, Machine Learning, Excel",1,1,3,68.2,Data Scientist,18.83
Tier 3,5.76,0,2,0,Deep Learning,1,0,0,43.4,Web Developer,6.01
Tier 3,7.15,0,0,0,HTML/CSS,0,0,1,46.8,Web Developer,5.43
