college_tier,cgpa,internships,github_projects,backlogs,hackathons,certifications,skills,advanced_skills,intermediate_skills,basic_skills,aptitude_score,job_role,salary_lpa
Tier 2,7.6,2,1,1,1,3,Java,0,1,0,52.5,Software Engineer,10.23
Tier 2,5.89,1,2,0,1,2,"Machine Learning, PyTorch",2,0,0,46.5,Web Developer,6.03
Tier 1,5.62,0,4,1,0,1,"Node.js, DSA, Python, JavaScript",1,2,1,45.2,Junior Developer,5.93
Tier 3,7.47,1,2,4,1,1,"Machine Learning, Git, TensorFlow, Docker",2,1,1,55.2,Data Scientist,12.03
Tier 1,7.93,0,2,1,2,0,"PyTorch, TensorFlow, Java, Linux, AWS",2,2,1,60.8,ML Engineer,16.17
Tier 1,8.07,2,1,1,1,1,"Machine Learning, AWS, DSA, React, Java, SQL",2,3,1,68.6,ML Engineer,24.41
Tier 3,6.91,0,4,1,0,0,"TensorFlow, Linux",1,0,1,57.4,DevOps Engineer,10.03
Tier 2,6.64,0,2,1,1,1,"DSA, JavaScript, PyTorch, Python, Linux",2,1,2,59.1,Data Scientist,10.1
Tier 1,6.36,3,1,0,3,2,"Deep Learning, Python, React",1,2,0,51.1,Software Engineer,9.9
Tier 3,6.04,1,2,2,1,1,HTML/CSS,0,0,1,42.6,Web Developer,5.72
Tier 2,6.77,0,2,2,2,2,TensorFlow,1,0,0,52.9,Software Engineer,9.85
Tier 2,8.11,0,0,0,1,1,"AWS, TensorFlow, Excel, SQL, Docker",1,2,2,55.5,Data Analyst,13.34
Tier 2,5.9,1,1,2,3,1,"Python, AWS, Deep Learning",1,2,0,53.0,Junior Developer,5.57
Tier 3,8.43,0,5,0,2,0,"Node.js, Git",0,1,1,59.9,Data Scientist,9.61
Tier 3,8.26,0,2,1,3,1,"React, Machine Learning",1,1,0,68.4,Data Scientist,13.89
Tier 2,6.71,2,2,1,0,1,"Docker, Python, TensorFlow, Node.js, Machine Learning",2,3,0,53.9,ML Engineer,10.21
Tier 3,7.57,2,2,0,3,0,"Machine Learning, JavaScript, AWS",1,1,1,56.6,Data Scientist,14.75
Tier 2,5.63,3,1,4,3,3,"Django, Deep Learning",1,1,0,44.2,Web Developer,5.74
Tier 3,6.95,1,1,0,2,2,"JavaScript, Deep Learning, Docker",1,1,1,50.0,Web Developer,9.78
Tier 3,7.26,0,3,1,2,1,"TensorFlow, PyTorch, JavaScript, Node.js",2,1,1,61.3,Data Scientist,15.3
Tier 1,5.56,0,2,1,4,1,"DSA, SQL",1,0,1,41.2,Web Developer,5.93
Tier 3,9.25,0,2,0,2,0,"SQL, TensorFlow, Docker, Django, JavaScript",1,2,2,76.0,Backend Developer,17.17
Tier 2,8.4,1,0,1,3,4,"HTML/CSS, AWS, Excel, Docker, PyTorch, Deep Learning",2,2,2,66.9,Data Scientist,24.08
Tier 1,6.25,0,2,1,0,5,"HTML/CSS, Django, PyTorch, TensorFlow, DSA",3,1,1,58.5,Software Engineer,9.79
Tier 2,4.85,1,5,3,2,1,"React, Python, Docker, PyTorch",1,3,0,31.8,Junior Developer,4.6
Tier 1,6.84,2,1,0,4,1,"TensorFlow, DSA, Docker, Django, Deep Learning",3,2,0,49.4,ML Engineer,10.53
Tier 2,6.63,0,1,1,0,1,"Java, SQL, TensorFlow, React, Deep Learning",2,2,1,58.4,ML Engineer,10.17
Tier 1,8.05,0,0,1,4,1,"Django, Git, Java, JavaScript, Machine Learning",1,2,2,61.9,Data Scientist,24.44
Tier 1,8.03,0,1,0,0,0,"React, Python",0,2,0,55.4,Software Engineer,10.5
Tier 2,6.01,3,2,1,1,3,PyTorch,1,0,0,48.4,Software Engineer,10.02
Tier 2,9.73,1,3,0,4,1,"SQL, JavaScript, Python, Node.js, Deep Learning",1,2,2,74.1,Data Scientist,24.51
Tier 2,4.83,0,4,2,5,2,DSA,1,0,0,37.4,Junior Developer,4.42
Tier 1,7.35,2,3,0,8,1,"Node.js, Deep Learning",1,1,0,50.0,Data Scientist,16.04
Tier 2,7.62,0,3,1,3,3,"JavaScript, React",0,1,1,60.8,Web Developer,10.66
Tier 2,6.48,0,2,2,2,3,"Node.js, Excel",0,1,1,43.6,Data Analyst,8.0
Tier 2,7.96,0,3,1,0,0,"SQL, Deep Learning, Docker, Node.js",1,2,1,61.6,Backend Developer,15.72
Tier 1,6.38,2,1,0,0,1,Linux,0,0,1,39.4,Software Engineer,5.97
Tier 3,6.77,0,2,2,2,3,"Git, HTML/CSS, AWS",0,1,2,44.7,Web Developer,6.65
Tier 1,9.85,1,1,0,3,0,"Node.js, Java, React, SQL, DSA",1,3,1,71.4,Software Engineer,22.46
Tier 2,4.05,0,1,0,1,1,"AWS, Machine Learning",1,1,0,33.4,Junior Developer,4.77
Tier 3,8.27,1,3,0,1,2,"SQL, Django, Node.js, Docker",0,3,1,61.2,Backend Developer,10.41
Tier 3,7.15,0,0,0,1,1,"Docker, Django, Node.js",0,3,0,50.3,DevOps Engineer,7.78
Tier 3,7.32,0,4,0,3,2,"Linux, PyTorch",1,0,1,55.0,DevOps Engineer,13.18
Tier 3,4.83,1,0,1,1,2,TensorFlow,1,0,0,33.5,Junior Developer,4.38
Tier 3,8.21,0,4,0,3,2,"Docker, AWS",0,2,0,54.6,DevOps Engineer,10.43
Tier 2,6.81,2,2,0,3,3,"TensorFlow, Linux",1,0,1,48.3,DevOps Engineer,9.33
Tier 2,8.26,1,4,0,2,1,"Deep Learning, Node.js, SQL, React, JavaScript, Django",1,3,2,57.6,Web Developer,15.59
Tier 3,9.72,2,1,1,3,1,"Node.js, Django",0,2,0,74.5,Data Scientist,10.27
Tier 2,6.49,2,2,0,0,3,"Linux, Java, Machine Learning",1,1,1,46.7,Software Engineer,10.05
Tier 2,10.0,1,6,0,2,3,"Node.js, Git, Machine Learning, Django",1,2,1,74.3,Data Scientist,24.53
Tier 2,4.97,0,2,0,1,2,"PyTorch, Linux",1,0,1,46.4,Junior Developer,4.4
Tier 3,9.0,0,1,0,1,3,"Django, PyTorch, HTML/CSS, JavaScript, Python",1,2,2,65.7,Web Developer,15.07
Tier 1,10.0,0,3,0,0,2,"HTML/CSS, DSA, Java",1,1,1,74.3,Software Engineer,21.92
Tier 3,8.8,1,2,0,3,2,"Excel, Docker, TensorFlow, Django, Python",1,3,1,68.0,Data Scientist,21.15
Tier 2,6.89,0,2,0,1,2,"Git, HTML/CSS, React, Node.js, Java",0,3,2,48.4,Software Engineer,8.24
Tier 3,5.87,2,2,1,0,1,Python,0,1,0,42.7,Junior Developer,4.42
Tier 1,8.11,1,1,0,1,2,"Excel, AWS",0,1,1,55.8,Data Analyst,10.46
Tier 2,6.88,1,4,0,1,2,"Node.js, DSA",1,1,0,45.7,Software Engineer,10.03
Tier 3,5.04,1,2,0,4,2,Machine Learning,1,0,0,42.0,Junior Developer,4.62
Tier 3,4.16,0,1,0,1,1,DSA,1,0,0,39.8,Junior Developer,4.23
Tier 2,7.69,1,3,0,1,2,"Java, AWS",0,2,0,45.1,Software Engineer,10.29
Tier 3,7.29,0,3,0,3,2,"Node.js, HTML/CSS",0,1,1,50.7,Web Developer,9.26
Tier 3,7.21,3,3,0,2,2,Django,0,1,0,43.8,Data Scientist,10.45
Tier 2,7.16,0,5,2,1,2,"HTML/CSS, Docker",0,1,1,51.2,Web Developer,10.24
Tier 3,8.51,0,2,0,3,0,"Git, Python, SQL",0,1,2,55.1,Data Analyst,10.42
Tier 2,8.28,3,3,3,2,0,"Linux, Node.js, DSA, Docker",1,2,1,55.2,DevOps Engineer,19.52
Tier 3,5.8,0,0,2,1,2,"SQL, Excel, Git",0,0,3,36.8,Web Developer,4.52
Tier 3,6.74,2,2,3,1,1,"Git, React",0,1,1,44.0,Software Engineer,6.39
Tier 3,8.7,1,2,0,2,2,"Docker, Python",0,2,0,58.0,Backend Developer,10.49
Tier 3,7.4,1,0,0,1,2,"DSA, PyTorch, AWS, Java",2,2,0,63.3,Data Scientist,15.47
Tier 1,4.0,2,2,4,4,1,"Excel, Git, Java",0,1,2,23.6,Junior Developer,3.49
Tier 1,6.0,1,3,0,3,3,"Excel, SQL",0,0,2,43.2,Data Analyst,6.87
Tier 3,6.89,2,2,0,1,2,"Java, JavaScript, Excel, Python, PyTorch",1,2,2,53.6,Software Engineer,9.83
Tier 1,7.45,1,0,0,3,2,"Machine Learning, Java, Django",1,2,0,50.0,Data Scientist,15.95
Tier 2,7.78,0,0,1,2,3,"DSA, Linux, PyTorch, Node.js",2,1,1,67.4,ML Engineer,15.54
Tier 3,6.17,2,1,0,2,2,Git,0,0,1,44.9,Software Engineer,6.54
Tier 3,7.68,2,0,1,2,0,"Django, Java, Docker, TensorFlow",1,3,0,60.0,Backend Developer,14.21
Tier 3,9.16,0,1,0,1,2,"Java, DSA, JavaScript, React, Linux, PyTorch",2,2,2,71.3,Data Scientist,21.22
