college_tier,cgpa,internships,github_projects,backlogs,hackathons,certifications,advanced_skills,intermediate_skills,basic_skills,aptitude_score,job_role,salary_lpa,college_tier_encoded,job_role_encoded,salary_log
Tier 2,7.6,2,1,1,1,3,0,1,0,52.5,Software Engineer,10.23,2,6,2.418588768750352
Tier 2,5.89,1,2,0,1,2,2,0,0,46.5,Web Developer,6.03,2,7,1.9501867058225735
Tier 1,5.62,0,4,1,0,1,1,2,1,45.2,Junior Developer,5.93,3,4,1.9358598132018119
Tier 3,7.47,1,2,4,1,1,2,1,1,55.2,Data Scientist,12.03,1,2,2.567254391136754
Tier 1,7.93,0,2,1,2,0,2,2,1,60.8,ML Engineer,16.17,3,5,2.843163674909384
Tier 1,8.07,2,1,1,1,1,2,3,1,68.6,ML Engineer,24.41,3,5,3.2351427973320726
Tier 3,6.91,0,4,1,0,0,1,0,1,57.4,DevOps Engineer,10.03,1,3,2.400618833265411
Tier 2,6.64,0,2,1,1,1,2,1,2,59.1,Data Scientist,10.1,2,2,2.4069451083182885
Tier 1,6.36,3,1,0,3,2,1,2,0,51.1,Software Engineer,9.9,3,6,2.388762789235098
Tier 3,6.04,1,2,2,1,1,0,0,1,42.6,Web Developer,5.72,1,7,1.9050881545350582
Tier 2,6.77,0,2,2,2,2,1,0,0,52.9,Software Engineer,9.85,2,6,2.3841650799864684
Tier 2,8.11,0,0,0,1,1,1,2,2,55.5,Data Analyst,13.34,2,1,2.663052835171474
Tier 2,5.9,1,1,2,3,1,1,2,0,53.0,Junior Developer,5.57,2,4,1.8825138324965192
Tier 3,8.43,0,5,0,2,0,0,1,1,59.9,Data Scientist,9.61,1,2,2.3617969526258915
Tier 3,8.26,0,2,1,3,1,1,1,0,68.4,Data Scientist,13.89,1,2,2.7006898466959175
Tier 2,6.71,2,2,1,0,1,2,3,0,53.9,ML Engineer,10.21,2,5,2.4168062370840686
Tier 3,7.57,2,2,0,3,0,1,1,1,56.6,Data Scientist,14.75,1,2,2.7568403652716422
Tier 2,5.63,3,1,4,3,3,1,1,0,44.2,Web Developer,5.74,2,7,1.9080599249242156
Tier 3,6.95,1,1,0,2,2,1,1,1,50.0,Web Developer,9.78,1,7,2.377692565480851
Tier 3,7.26,0,3,1,2,1,2,1,1,61.3,Data Scientist,15.3,1,2,2.791165107812717
Tier 1,5.56,0,2,1,4,1,1,0,1,41.2,Web Developer,5.93,3,7,1.9358598132018119
Tier 3,9.25,0,2,0,2,0,1,2,2,76.0,Backend Developer,17.17,1,0,2.89977188240808
Tier 2,8.4,1,0,1,3,4,2,2,2,66.9,Data Scientist,24.08,2,2,3.22207071576472
Tier 1,6.25,0,2,1,0,5,3,1,1,58.5,Software Engineer,9.79,3,6,2.378619779270043
Tier 2,4.85,1,5,3,2,1,1,3,0,31.8,Junior Developer,4.6,2,4,1.7227665977411035
Tier 1,6.84,2,1,0,4,1,3,2,0,49.4,ML Engineer,10.53,3,5,2.4449523342809676
Tier 2,6.63,0,1,1,0,1,2,2,1,58.4,ML Engineer,10.17,2,5,2.413231613081109
Tier 1,8.05,0,0,1,4,1,1,2,2,61.9,Data Scientist,24.44,3,2,3.2363227384719213
Tier 1,8.03,0,1,0,0,0,0,2,0,55.4,Software Engineer,10.5,3,6,2.4423470353692043
Tier 2,6.01,3,2,1,1,3,1,0,0,48.4,Software Engineer,10.02,2,6,2.3997118037247684
Tier 2,9.73,1,3,0,4,1,1,2,2,74.1,Data Scientist,24.51,2,2,3.23907053215372
Tier 2,4.83,0,4,2,5,2,1,0,0,37.4,Junior Developer,4.42,2,4,1.6900958154515549
Tier 1,7.35,2,3,0,8,1,1,1,0,50.0,Data Scientist,16.04,3,2,2.8355635214011694
Tier 2,7.62,0,3,1,3,3,0,1,1,60.8,Web Developer,10.66,2,7,2.4561641809223462
Tier 2,6.48,0,2,2,2,3,0,1,1,43.6,Data Analyst,8.0,2,1,2.1972245773362196
Tier 2,7.96,0,3,1,0,0,1,2,1,61.6,Backend Developer,15.72,2,0,2.8166056076565553
Tier 1,6.38,2,1,0,0,1,0,0,1,39.4,Software Engineer,5.97,3,6,1.9416152247724325
Tier 3,6.77,0,2,2,2,3,0,1,2,44.7,Web Developer,6.65,1,7,2.0347056478384444
Tier 1,9.85,1,1,0,3,0,1,3,1,71.4,Software Engineer,22.46,3,6,3.1552968432253294
Tier 2,4.05,0,1,0,1,1,1,1,0,33.4,Junior Developer,4.77,2,4,1.7526720805200082
Tier 3,8.27,1,3,0,1,2,0,3,1,61.2,Backend Developer,10.41,1,0,2.4344901638739844
Tier 3,7.15,0,0,0,1,1,0,3,0,50.3,DevOps Engineer,7.78,1,3,2.1724764076470255
Tier 3,7.32,0,4,0,3,2,1,0,1,55.0,DevOps Engineer,13.18,1,3,2.6518325211039815
Tier 3,4.83,1,0,1,1,2,1,0,0,33.5,Junior Developer,4.38,1,4,1.682688374173693
Tier 3,8.21,0,4,0,3,2,0,2,0,54.6,DevOps Engineer,10.43,1,3,2.4362414778067194
Tier 2,6.81,2,2,0,3,3,1,0,1,48.3,DevOps Engineer,9.33,2,3,2.3350522831315472
Tier 2,8.26,1,4,0,2,1,1,3,2,57.6,Web Developer,15.59,2,7,2.808800104202353
